1652824526,10/7,2/7,7/6,16/6
1652824533,10/7,4/4,7/6,16/6
1652824541,7/8,6/1,7/6,10/7
1652824548,7/8,7/1,9/8,8/10
1652824556,3/12,6/8,9/8,7/15
1652824563,5/12,6/8,9/8,6/8
1652824571,6/4,6/8,7/9,7/7
1652824578,3/3,6/8,7/9,12/5
1652824586,3/3,4/8,14/14,12/5
1652824594,3/3,4/8,14/14,5/8
1652824601,3/3,6/13,13/16,5/8
1652824609,3/3,4/12,13/13,5/8
1652824616,4/4,0/11,11/11,5/8
1652824624,12/12,7/9,5/13,10/15
1652824631,3/11,6/9,4/8,6/9
1652824639,0/11,0/16,4/8,2/14
1652824646,1/1,0/16,7/9,5/7
1652824654,5/6,1/15,7/9,10/11
1652824661,5/6,6/7,15/16,14/16
1652824669,5/6,6/7,16/15,14/16
1652824678,9/6,2/5,16/15,14/16
1652824685,9/6,2/5,16/13,10/12
1652824693,1/15,-1/11,10/12,7/10
1652824700,1/15,0/5,7/11,4/1
1652824708,6/8,1/1,7/11,4/1
1652824715,6/8,1/1,5/6,4/1
1652824723,16/0,10/2,1/6,4/1
1652824730,10/-1,10/2,5/11,4/1
1652824738,5/1,10/2,14/8,4/1
1652824745,5/1,10/2,15/8,4/1
1652824753,5/1,1/10,15/8,9/9
1652824761,5/1,1/10,15/7,3/8
1652824768,1/8,1/10,7/7,8/5
1652824776,3/6,9/13,11/7,5/8
1652824783,3/6,9/13,13/14,4/8
1652824791,3/6,8/11,13/14,5/13
1652824798,5/10,6/6,6/7,7/8
1652824806,10/10,6/9,6/6,7/8
1652824813,16/5,7/4,9/3,9/3
1652824821,15/4,2/0,9/3,9/3
1652824828,12/1,2/0,9/3,11/5
1652824836,12/1,2/0,9/3,5/14
1652824844,12/1,2/0,9/3,9/10
1652824851,7/5,4/2,8/2,9/10
1652824859,7/5,4/5,0/0,4/10
1652824866,7/5,3/8,5/5,4/10
1652824874,8/4,3/8,8/10,7/7
1652824881,8/4,2/12,6/13,10/0
1652824889,0/9,2/13,4/6,7/4
1652824896,4/12,2/13,4/5,7/9
1652824904,4/12,3/13,12/5,7/10
1652824912,4/12,7/6,11/4,9/12
1652824919,4/12,6/2,6/8,9/13
1652824927,5/8,2/1,6/8,3/10
1652824934,7/8,2/1,6/8,3/10
1652824942,9/8,2/1,8/9,9/11
1652824949,9/8,2/1,10/4,11/11
1652824957,9/8,9/3,10/4,10/6
1652824964,11/9,9/3,10/4,10/6
1652824972,15/11,0/2,10/4,1/4
1652824979,11/9,0/2,13/4,1/6
1652824987,9/10,4/6,4/5,1/6
1652824995,6/14,11/7,4/5,1/6
1652825002,6/9,11/7,1/5,7/3
1652825010,7/3,9/9,0/2,0/3
1652825017,2/10,8/9,0/2,2/1
1652825025,5/13,8/9,1/3,2/1
1652825032,5/13,8/9,6/10,3/1
1652825040,5/13,7/9,6/10,4/3
1652825047,8/6,13/11,6/1,6/9
1652825055,8/6,13/11,6/1,6/9
1652825062,8/6,13/11,7/5,5/8
1652825070,8/6,13/11,12/10,5/10
1652825078,8/6,7/6,13/15,5/12
1652825085,8/6,4/5,15/12,10/10
1652825093,5/4,4/12,16/4,9/6
1652825100,13/6,1/14,16/4,8/6
1652825108,12/11,4/11,9/5,8/6
