1652824526,10.21285257752195/6.500692178391172,1.760732299286417/6.500897477510193,6.51519100625967/5.782142426650791,16.459570871926474/5.858736677202497
1652824533,10.21285257752195/6.500692178391172,3.6804934020657356/4.322362104921612,6.51519100625967/5.782142426650791,16.48261555241305/6.2852286148645025
1652824541,6.774481014042104/8.257670148184781,6.435215293358169/0.7788834634271451,6.51519100625967/5.782142426650791,9.788202428809484/7.441985346148504
1652824548,6.774481014042104/8.257670148184781,6.984362747295023/1.1131462535742482,9.077105551898285/8.078317619283784,7.518445025372898/9.83163943460426
1652824556,2.706330965328678/12.490642358626745,5.801712477267358/7.74990144127991,9.186438844877387/8.187307115853159,6.547383836109475/15.242172535269933
1652824563,5.479528585667068/11.520450934293878,5.801712477267358/7.74990144127991,9.186438844877387/8.187307115853159,5.531748760795153/7.698357328395931
1652824571,5.611213538958095/3.5415860186970356,5.801712477267358/7.74990144127991,6.822972286735421/9.234351624377478,6.798456827107202/6.65068921683463
1652824578,2.7679822690529052/2.5508674679078647,5.801712477267358/7.74990144127991,6.822972286735421/9.234351624377478,12.26324604037643/4.543208976021509
1652824586,2.7679822690529052/2.5508674679078647,3.6826044710468295/8.479872547357711,14.316730601856136/14.471153758169594,12.26324604037643/4.543208976021509
1652824594,2.7679822690529052/2.5508674679078647,3.6826044710468295/8.479872547357711,14.316730601856136/14.471153758169594,4.772932699064938/8.454177883589473
1652824601,2.7679822690529052/2.5508674679078647,6.495495818561835/13.293277298009553,12.823782188025916/16.17106702298755,4.751218439634954/8.454177883589473
1652824609,2.7679822690529052/2.5508674679078647,3.7782579917970622/11.56589699634105,12.50838359233586/13.16322200979425,4.751218439634954/8.454177883589473
1652824616,3.649535069372437/3.645495776192228,-0.26803637524577084/10.540918980779956,11.183326651071127/10.830245443775155,4.751218439634954/8.454177883589473
1652824624,12.151542629994292/12.151483357630802,7.459166929754218/9.347831464834897,5.45119574373706/12.553851858177513,9.555420527015258/15.062967625791558
1652824631,2.9829448423809337/10.520464630162246,5.778144823126837/9.235162588275342,3.7424008359340633/7.543454459102419,5.726692195143869/9.29263276582056
1652824639,-0.26782798231302685/11.460184503935656,-0.4671642150843809/16.31104783740473,3.7424008359340633/7.543454459102419,2.359611181689786/14.479617016547644
1652824646,1.4488056582965698/0.8119606758754436,-0.4671642150843809/16.31104783740473,7.227894972165018/9.261879636072484,5.239257755354629/6.8179051271543045
1652824654,5.238388432399934/6.188602435464676,0.9848967047253439/15.020714588980915,7.227894972165018/9.261879636072484,10.337958142306775/11.338018362364394
