1652824526,03,1B,C5,8E,87,3F,C5,BB,87,3F,78,B4,66,3F,6B,B4,52,4E,55,B4,40,69,55,B4,00,69,55,44,96,26,66,F6
1652824533,87,3F,C5,BB,87,3F,78,B4,66,3F,6B,B4,52,4E,55,B4,40,69,55,B4,00,69,55,44,96,26,66,F6,96,44,66,F6
1652824541,87,3F,78,B4,66,3F,6B,B4,52,4E,55,B4,40,69,55,B4,00,69,55,44,96,26,66,F6,96,44,66,F6,68,61,66,97
1652824548,66,3F,6B,B4,52,4E,55,B4,40,69,55,B4,00,69,55,44,96,26,66,F6,96,44,66,F6,68,61,66,97,68,71,88,79
1652824556,52,4E,55,B4,40,69,55,B4,00,69,55,44,96,26,66,F6,96,44,66,F6,68,61,66,97,68,71,88,79,3B,67,98,6E
1652824563,40,69,55,B4,00,69,55,44,96,26,66,F6,96,44,66,F6,68,61,66,97,68,71,88,79,3B,67,98,6E,5B,67,98,57
1652824571,00,69,55,44,96,26,66,F6,96,44,66,F6,68,61,66,97,68,71,88,79,3B,67,98,6E,5B,67,98,57,54,67,69,66
1652824578,96,26,66,F6,96,44,66,F6,68,61,66,97,68,71,88,79,3B,67,98,6E,5B,67,98,57,54,67,69,66,33,67,69,B4
1652824586,96,44,66,F6,68,61,66,97,68,71,88,79,3B,67,98,6E,5B,67,98,57,54,67,69,66,33,67,69,B4,33,48,DD,B4
1652824594,68,61,66,97,68,71,88,79,3B,67,98,6E,5B,67,98,57,54,67,69,66,33,67,69,B4,33,48,DD,B4,33,48,DD,58
1652824601,68,71,88,79,3B,67,98,6E,5B,67,98,57,54,67,69,66,33,67,69,B4,33,48,DD,B4,33,48,DD,58,33,6C,CF,58
1652824609,3B,67,98,6E,5B,67,98,57,54,67,69,66,33,67,69,B4,33,48,DD,B4,33,48,DD,58,33,6C,CF,58,33,4B,BC,58
1652824616,5B,67,98,57,54,67,69,66,33,67,69,B4,33,48,DD,B4,33,48,DD,58,33,6C,CF,58,33,4B,BC,58,44,0A,AA,58
1652824624,54,67,69,66,33,67,69,B4,33,48,DD,B4,33,48,DD,58,33,6C,CF,58,33,4B,BC,58,44,0A,AA,58,BB,79,5C,9E
1652824631,33,67,69,B4,33,48,DD,B4,33,48,DD,58,33,6C,CF,58,33,4B,BC,58,44,0A,AA,58,BB,79,5C,9E,3A,69,47,59
1652824639,33,48,DD,B4,33,48,DD,58,33,6C,CF,58,33,4B,BC,58,44,0A,AA,58,BB,79,5C,9E,3A,69,47,59,0B,0F,47,3D
